kalshi_event,poly_event,kalshi_title,poly_title,score
KXPRESCHILE-25,chile-presidential-election,will [blank] win the chilean presidential election?,will [blank] win the chilean presidential election?,100.0
KXCHENEYFUNERAL-25DEC01,who-will-attend-dick-cheneys-funeral,will [blank] attend dick cheney's funeral?,will [blank] attend dick cheney's funeral?,100.0
KXWLEADER-25,who-will-trump-meet-with-in-november,will trump meet with [blank],will trump meet with [blank],100.0
KXPRESECUADOR25,ecuador-presidential-election,will [blank] win the 2025 ecuadorian presidential election?,will [blank] win the 2025 ecuadorian presidential election?,100.0
KXMAMDANISWEARING-26JAN01,who-will-attend-zohran-mamdanis-swearing-in-ceremony,will [blank] attend zohran mamdani's swearing-in ceremony?,will [blank] attend zohran mamdani's swearing-in ceremony?,100.0
KXJONESDROPOUT-25NOV04,will-jay-jones-drop-out-of-the-virginia-attorney-general-race,will jay jones drop out of the virginia attorney general race?,will jay jones drop out of the virginia attorney general race?,100.0
KXWLEADER-25,who-will-trump-meet-with-in-october,will trump meet with [blank],will trump meet with [blank],100.0
KXPRESURUGUAY,uruguay-presidential-election-winner,will [blank] win the 2024 uruguayan presidential election?,will [blank] win the 2024 uruguay presidential election?,98.25
KXDOOMSDAY-25,will-the-doomsday-clock-move-closer-to-midnight-in-2024,will the doomsday clock move closer to midnight in 2025?,will the doomsday clock move closer to midnight in 2024?,98.21
KXMONTREALMAYOR-25NOV02,new-york-city-mayoral-election-569,will [blank] win the 2025 montreal mayoral election?,will [blank] win the 2025 montreal mayor election?,98.04
KXNATIONALE-25,will-trump-declare-a-national-emergency-in-his-first-100-days,will trump declare a new national emergency in his first 100 days?,will trump declare a national emergency in his first 100 days?,96.88
KXLEAVETULSIGABBARD-25JUL,tulsi-gabbard-out-as-united-states-director-of-national-intelligence-before-july,tulsi gabbard out as united states director of national intelligence before july 2025?,tulsi gabbard out as united states director of national intelligence before july?,95.81
KXTIKTOKDJT-25-JAN28,will-trump-save-tiktok-in-first-week,will trump save tiktok in his first week?,will trump save tiktok in first week?,94.87
KXPORTUGALPRES-26FEB15,portugal-presidential-election,will [blank] win the 2026 portuguese presidential election?,will [blank] win the 2026 portugal presidential election?,94.83
KXCANELECTRICITY-25MAY,will-doug-ford-cut-off-electricity-to-the-us-before-may,will ontario cut off electricity to the united states before may 2025?,will ontario cut off electricity to the united states before may?,94.81
KXONTPARTY-25,ontario-parliamentary-election-winner,will [blank] win the most seats in the ontario parliamentary election?,will the [blank] win the most seats in the next ontario parliamentary election?,93.96
KXVOTERECNCS-26,which-senators-vote-for-the-next-reconciliation-bill,will [blank] vote for the next budget reconciliation bill?,will [blank] vote for the next reconciliation bill?,93.58
ADAMS-25APR,eric-adams-out-as-nyc-mayor-before-2025,eric adams out as nyc mayor before april 2025?,eric adams out as nyc mayor before 2025?,93.02
KXSYRIAELECTION-25JUL,will-syria-hold-national-elections-before-july,will syria hold national elections before july 2025?,will syria hold national elections before july?,92.93
KXNEXTCANADAPM-26,next-prime-minster-of-canada,will [blank] be the next prime minister of canada?,will [blank] be the next canadian prime minister?,92.93
KXCZECHPARTY-25,czech-republic-parliamentary-election-winner,will [blank] win the most seats in the 2025 czech parliamentary elections?,will [blank] win the most seats in the next czech parliamentary election?,92.52
KXEOCOUNTDAY2-25JAN21,how-many-executive-orders-will-trump-issue-on-day-1,will trump issue [blank] executive orders on day one?,will trump issue [blank] executive orders on day 1?,92.31
KXKNOXAUDIT-25,will-doge-audit-for-knox-before-may,will doge audit fort knox before may 2025,will doge audit fort knox before may?,92.31
KXEOCOUNTDAY3-25JAN22,how-many-executive-orders-will-trump-issue-on-day-1,will trump issue [blank] executive orders on day one?,will trump issue [blank] executive orders on day 1?,92.31
