kalshi_event,poly_event,kalshi_title,poly_title,score
KXNEXTCANADAPM-26,next-prime-minster-of-canada,will [blank] be the next prime minister of canada?,will [blank] be the next canadian prime minister?,80.0
KXCONLEADER24,next-uk-leader-of-the-conservatives,will [blank] be the leader of the uk conservatives?,[blank] next conservative party leader?,79.85
KXPRESECUADOR25,ecuador-presidential-election,will [blank] win the 2025 ecuadorian presidential election?,will [blank] win the 2025 ecuadorian presidential election?,79.29
KXROMANIATOP2-27,romania-presidential-election-1st-round-winner,who will win the first round of the romanian presidential election?,will [blank] win the most votes in the 1 round of the romanian presidential election?,78.55
KXPRESURUGUAY,uruguay-presidential-election-winner,will [blank] win the 2024 uruguayan presidential election?,will [blank] win the 2024 uruguay presidential election?,75.78
KXGOVSHUTLENGTH-26FEB28,how-many-days-will-the-federal-government-be-shut-down-in-2025,will the federal government shut down for more than [blank],will the federal government [blank] in 2025?,75.5
KXGOVSHUTLENGTH-26JAN01,how-many-days-will-the-federal-government-be-shut-down-in-2025,will the federal government shut down for more than [blank] days?,will the federal government [blank] in 2025?,75.38
KXVOTEFUNDING-25,will-the-house-vote-on-a-government-funding-bill,"will the house vote on an omnibus spending bill, minibus, or government-wide continuing resolution (cr)?",will the house vote on a government funding bill today?,74.46
KXNEXTCANADAPM-26,next-prime-minster-of-ireland,will [blank] be the next prime minister of canada?,will [blank] be the next prime minister of ireland?,74.45
KXNEXTCANADAPM-26,next-french-prime-minister,will [blank] be the next prime minister of canada?,[blank] next prime minister of france?,73.9
KXARRESTGRETA-25OCT01,greta-thunberg-arrested-by-october-15,"will greta thunberg be arrested before october 1, 2025?",greta thunberg arrested by october 15?,73.42
KXGREENLANDPARTY-25,greenland-parliamentary-election-winner,will the [blank] party win the most seats in the 2025 greenlandic parliamentary election?,will [blank] win the most seats in the next greenland parliamentary election?,72.53
KXARRESTGRETA-25OCT01,greta-thunberg-arrested-by-september-30,"will greta thunberg be arrested before october 1, 2025?",greta thunberg arrested by september 30?,72.42
KXRFKCOUNT-25,how-many-senators-vote-to-confirm-rfk-as-secretary-of-hhs,how many senators vote to confirm as secretary of health and human services?,[blank] senators vote to confirm rfk as secretary of hhs?,72.4
KXDNCCHAIR-25DEC,who-will-be-the-next-dnc-chair,"who will be the next dnc chair before december 31, 2025?",will [blank] be the next dnc chair?,72.2
KXNEXTTONGAPM-26,next-french-prime-minister,will [blank] be the next prime minister of tonga?,[blank] next prime minister of france?,72.06
PRESPARTYWV-24,west-virginia-us-senate-election-winner,will the [blank] party win west virginia in the presidential election?,will a [blank] win west virginia united states senate election?,71.92
KXELECTIONICOAST-26,utah-presidential-election-winner,who will win ivory coast presidential election?,will a [blank] win utah presidential election?,71.86
KXVOTEDTULSI,which-senators-will-vote-to-confirm-tulsi-gabbard,will any democrats vote for tulsi gabbard?,bernie sanders votes to confirm tulsi gabbard?,71.81
PRESPARTYND-24,north-dakota-us-senate-election-winner,will the [blank] party win north dakota in the presidential election?,will a [blank] win north dakota united states senate election?,71.57
